38,Tokyo Zombie (Tôkyô zonbi),Clara Siviter,Borer-Cummings,26.91,Action|Comedy|Horror,599841620-1,21-04-2000
39,Eraser,Nataline Sketcher,Dietrich and Sons,32.51,Action|Drama|Thriller,026813590-8,24-02-1945
40,Searching for Bobby Fischer,Valenka Bernadot,Gorczany and Sons,11.15,Drama,115101752-3,25-09-1978
41,Julian Po,Leann Woodstock,Marks-Bartell,11.74,Comedy|Drama,008830925-8,30-01-1947
42,"Rocket from Calabuch, The (Calabuch)",Claribel Scarrott,"Gusikowski, McClure and Stark",18.83,Comedy,926209293-8,29-07-1945
43,3 Little Ninjas and the Lost Treasure,Gertrudis Arnison,McLaughlin Inc,25.31,Action,368365254-3,19-10-1926
44,Eye for an Eye,Mozelle Blaszczak,Ryan-Robel,46.03,(no genres listed),640490924-3,31-10-2004
45,Spring Break,Everett Witts,Larson-Langworth,17.59,Comedy,351911036-9,09-12-1957
46,One Spy Too Many,Jojo Chaffen,Dibbert-Jacobi,39.32,Adventure|Crime,105915061-1,29-09-1936
47,Rolling Family (Familia rodante),Pepillo Reedshaw,Bode-Ebert,20.25,Comedy|Drama,758127530-2,23-08-1957
48,"Kiss Before Dying, A",Aura Hedges,Hackett-Marks,48.52,Thriller,553575510-9,09-12-1962
49,His Name Was Jason: 30 Years of Friday the 13th,Alfonse Kettle,Predovic Group,13.49,Documentary|Horror,665298378-8,05-07-1924
50,Elvis and Anabelle,Stephannie Winham,"Turner, Hills and Osinski",47.08,Drama|Romance,917020742-9,26-04-1927
51,"Russell Peters: Red, White and Brown",Mela Coping,Sauer-Klocko,25.19,Comedy|Documentary,480528857-4,19-10-1925
52,Aloha Summer,Esme Renackowna,Dickens Inc,4.55,Comedy|Drama,229686607-7,01-09-1906
53,Basket Case 2,Eva Letterese,Yundt-Zboncak,38.4,Comedy|Horror,558138140-2,04-05-2016
54,"Hired Hand, The",Stanley Mumberson,Denesik LLC,17.52,Western,661089803-0,25-08-1950
55,"Charge of the Light Brigade, The",Iggy Livingstone,"Hirthe, Connelly and Koelpin",13.01,Action|Adventure|Romance|War,101633237-8,27-08-1990
56,As Cool As I Am,Bartie Stolberg,Green and Sons,49.51,Comedy|Drama,410838387-7,13-11-1942
57,I Wish (Kiseki),Ashbey Grinnikov,"Tillman, Hudson and Bruen",42.8,Children|Drama,028900243-5,21-04-1999
58,Beginning of the Great Revival (a.k.a. The Founding of a Party),Nathan Marris,Bosco-Will,23.77,Drama|IMAX,090023197-1,14-11-2009
59,Don't Drink the Water,Karlik Ogers,"Ziemann, Hintz and Heidenreich",6.89,Comedy,670669175-5,11-06-1941
60,Sex & Drugs & Rock & Roll,Dorri Dwelly,"Crona, Hermiston and Predovic",12.08,Comedy|Drama,779444464-0,20-12-1980
61,Black Tights (1-2-3-4 ou Les Collants noirs),Vernice Yarrell,Waelchi Group,14.17,Drama|Musical,737669577-X,11-05-1985
62,Visitor Q (Bizita Q),Aloisia Soff,Sauer-Hintz,0.61,Comedy|Drama|Horror,055033996-5,25-10-2008
63,"Bridge on the River Kwai, The",Papagena Febre,"Bogisich, McClure and Powlowski",6.48,Adventure|Drama|War,610746689-4,10-02-1949
64,Ladyhawke,Orelee Saunder,"Barton, O'Reilly and Trantow",40.19,Adventure|Fantasy|Romance,791746519-5,04-11-1958
65,God Is the Bigger Elvis,Valerie Luckcock,Pouros-Bradtke,27.88,Documentary,847391489-9,03-07-1918
66,God Is the Bigger Elvis,Alyss Burth,"Weissnat, West and Herzog",40.97,Documentary,462730295-9,14-03-1915
67,"Kiss Before Dying, A",Shanon Irwin,"Heaney, Schiller and Rohan",21.87,Thriller,860171266-5,04-02-1906
68,Tattooed Life (Irezumi ichidai),Sara-ann Baxster,Satterfield Inc,34.93,Crime|Drama,936397589-4,06-05-1931
69,Europa (Zentropa),Mimi Scogings,Hamill-Farrell,23.52,Drama|Thriller,599803667-0,16-02-1994
70,Blame it on Fidel! (La faute à Fidel!),Abram Beeswing,O'Hara-Keeling,22.02,Drama,002150082-7,17-02-2000
71,"World Is Not Enough, The",Sonny Rawsthorn,White-Brekke,11.71,Action|Adventure|Thriller,608671464-9,27-02-1950
72,City Hall,Bambie Yakushkin,Simonis-Purdy,44.66,Drama|Thriller,266976590-4,11-01-1988
73,Boy Eats Girl,Orelee Louth,Erdman-Beahan,11.5,Comedy|Horror,406664302-7,29-10-1988
74,"Toll of the Sea, The",Allissa Mustard,Torphy LLC,28.48,Drama|Romance,212462921-2,05-09-1918
75,No Such Thing,Mildrid Lilleyman,Graham-Hudson,40,Drama|Fantasy|Romance,190201319-0,02-06-1940
76,Celeste and Jesse Forever (Celeste & Jesse Forever),Susanna Rawson,Schmidt-Mohr,43.35,Comedy|Drama|Romance,907724254-6,12-06-1907
77,Bad Asses (Bad Ass 2),Marcille MacMichael,Frami-Ferry,31.07,Action|Drama,794510306-5,16-09-1976
78,After.Life,Gan Treacher,Koepp Inc,13.87,Drama|Horror|Thriller,700996755-5,06-11-1926
79,Bells of Innocence,Maryellen Pheasant,Dibbert Group,40.15,Horror,758773141-5,12-04-1908
80,Imago mortis,Brietta Gobbet,White-Weissnat,22.55,Horror,803088045-6,25-05-2017
81,The Town that Dreaded Sundown,Alvin Barrable,"Ward, Reichert and Jakubowski",48.27,Horror|Thriller,743198538-X,16-06-1934
82,Modulations,Marieann O'Fihily,Bins-Zieme,6.16,Documentary,273538772-0,20-10-2015
83,Ten North Frederick,Emeline Jirusek,"Bruen, Effertz and Hamill",21.13,Drama|Romance,203754702-1,24-12-1993
84,"Wedding in Blood (Noces rouges, Les)",Giuseppe Jaquest,Lynch-Green,49.5,Crime|Drama,179902941-7,21-11-2015
85,Girls Just Want to Have Fun,Isadore Troppmann,Mann-Collier,5.51,Comedy,776143491-3,26-06-1964
86,Steam,Darill Moorhead,Kshlerin Inc,11.35,Comedy|Drama|Romance,768880308-X,25-03-1933
87,Dying of the Light,Hercule Jaegar,Schiller LLC,5.3,Drama|Thriller,030006004-1,23-09-1954
88,Death Note,Hugo Geratasch,"Waters, Wuckert and Walker",9.76,Adventure|Crime|Drama|Horror|Mystery,971603932-8,15-01-1944
89,4.3.2.1,Kippy Oddie,Farrell Inc,11.7,Crime|Thriller,021083226-6,04-04-1910
90,The Boyfriend School,Aida Senten,Rice-Toy,41.77,Comedy|Romance,719204090-8,17-03-2004
91,"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire",Kendall Mayor,"Lebsack, Champlin and Mosciski",37.78,Documentary,332552313-7,15-02-1973
92,As If I Didn't Exist (Elina - Som om jag inte fanns),Judye Sollitt,Anderson Group,49.8,Children|Drama,054026590-X,15-08-1972
93,Kira's Reason: A Love Story (En Kærlighedshistorie),Kore Redgrove,"Oberbrunner, Ondricka and Volkman",46.45,Drama,569134168-5,18-01-1927
94,Eat Drink Man Woman (Yin shi nan nu),Lowrance Pentlow,Bartell and Sons,10.22,Comedy|Drama|Romance,288630072-1,28-07-1913
95,Fallout,Evaleen Giral,Mosciski-Halvorson,47.01,Action|Sci-Fi,559785243-4,05-07-2005
96,Houseguest,Irv Kemwall,"Hessel, Rodriguez and Mosciski",46.04,Comedy,337038027-7,16-11-1980
97,"Machine That Kills Bad People, The (La Macchina Ammazzacattivi)",Way Beatty,Jacobi and Sons,46.71,Comedy|Fantasy,603645139-3,25-04-1920
98,Barren Lives (Vidas Secas),Merrili Hatcliffe,Schneider Inc,22.94,Drama,543051535-3,03-11-2008
99,Skirt Day (La journée de la jupe),Drake Works,Jacobson Inc,9.74,Drama,990086970-2,25-07-1932
100,Kicking & Screaming,Humfried Risebarer,Boyer-Leannon,33.69,Comedy,409556778-3,17-02-1932
101,"Herod's Law (Ley de Herodes, La)",Fawn Ferrucci,Mohr-Ullrich,5.61,Comedy|Crime|Mystery,324895429-9,22-03-1923
102,B-Side,Dede Lukianov,"Rosenbaum, Kerluke and Schiller",48.28,Comedy|Romance,564748056-X,19-08-1973
103,Shiver (Eskalofrío),Tracy Wathan,"Waelchi, Wilkinson and Botsford",46.75,Horror|Thriller,040882574-X,04-03-1914
104,Love Bites,Christean Dorow,Kovacek LLC,18.66,Comedy|Romance,421352277-6,15-02-1990
105,You and Me (Ty i ya),Hyacintha Raye,"Wiza, Ankunding and Ritchie",39.99,Drama,370021586-X,07-05-1920
106,Tension,Rhody Liddiatt,Morar Group,44.93,Crime|Drama|Film-Noir|Romance,368417827-6,01-09-1952
107,Hit Lady,West O'Fearguise,Schinner-Howe,17.69,Crime|Drama|Thriller,700567186-4,22-10-1913
108,Fast Food Nation,Robby Tennick,"Swift, Skiles and Christiansen",23.13,Drama,685839441-9,27-01-1917
109,Once Were Warriors,Kailey Rosenberger,Kovacek-Mraz,20.57,Crime|Drama,502115695-0,17-10-1925
110,Männerherzen... und die ganz ganz große Liebe,Damara Sandom,"Pouros, Waelchi and Ward",3.03,Comedy|Drama|Romance,466842017-4,01-08-1945
111,"Pyromaniac's Love Story, A",Jessi Grief,"Wehner, Cruickshank and Schoen",15.54,Comedy|Romance,198814270-9,25-11-1951
112,F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion),Alva Oxenden,Hyatt-Metz,11.66,Action|Crime|Thriller,504383921-X,22-08-1973
113,Superman Unbound,Hardy Blazic,Purdy Group,12.3,Action|Adventure|Animation,181575979-8,16-01-1927
114,Class of 1999,Whitby Jennaway,Wunsch-Schmeler,47.13,Action|Horror|Sci-Fi,889402604-3,03-02-1964
115,Drive-In Horrorshow,Kipper Cursey,"Altenwerth, Mante and Feeney",9.34,Horror,350776570-5,07-12-2013
116,Malibu's Most Wanted,Buddy Bigmore,Leffler and Sons,45.52,Comedy|Crime,024346566-1,01-11-1974
117,Nina Frisk,Dino Darwent,"Haag, Hickle and Haag",13.07,Comedy|Drama,653015154-0,01-02-1976
118,Ragnarok,Tadeas Velareal,Padberg-Spinka,6.79,Action|Adventure,643697723-6,18-12-1933
119,i hate myself :),Tiffi Margerison,"Conroy, Greenholt and Hansen",30.12,Comedy|Documentary|Drama,823912900-5,18-09-2006
120,Shaft,Marsha Maharry,Ernser and Sons,35.47,Action|Crime|Thriller,285713441-X,17-06-1918
121,Arthur 2: On the Rocks,Livy Lexa,Oberbrunner Group,24.62,Comedy|Romance,900521838-X,31-12-2006
122,Legend of the Guardians: The Owls of Ga'Hoole,Chelsea Awcock,Goodwin Group,43.45,Adventure|Animation|Fantasy|IMAX,759464160-4,04-12-1951
123,Eklavya: The Royal Guard,Merle Mulliss,Graham-Greenfelder,13.21,Action|Drama|Thriller,155336013-3,30-07-1973
124,"Golden Compass, The",Cord Airds,"Rolfson, Emard and Hickle",14.92,Adventure|Children|Fantasy,679488375-9,11-07-1957
125,Parker,Paige Beldon,Stehr Inc,26.59,Crime|Thriller,015987883-7,29-09-1929
126,Battlefield Earth,Nickolaus Tallquist,Collins-Jerde,44.86,Action|Sci-Fi,504796696-8,10-06-2005
127,Tables Turned on the Gardener,Darcie Laybourn,Bartoletti and Sons,5.52,Comedy,473322534-2,18-06-1982
128,Woman in Love (Rubbeldiekatz),Palm Reddish,Mills Group,27.61,Comedy,194949657-0,05-11-1954
129,CrissCross,Lena Kneeshaw,"Fahey, Steuber and Lebsack",21.75,Drama,148877106-5,17-11-1922
130,My Mom's New Boyfriend,Aurelie Payley,Hettinger-Kulas,45.26,Action|Comedy|Romance|Thriller,315948249-9,27-04-1945
131,"Bucket of Blood, A (Dark Secrets) (Death Artist, The)",Donnell Aldam,Kiehn and Sons,26.29,Comedy|Horror|Thriller,184239970-5,21-09-1936
132,"Darwin Awards, The",Sharline Aberchirder,"Walsh, Dicki and Larson",5.98,Adventure|Comedy|Romance,427758164-1,11-06-1928
133,"Love Trap, The",Dion MacChaell,Schumm-Bechtelar,36.91,Comedy|Romance,173176167-8,06-10-1907
134,"No Blood Relation (Stepchild, The) (Nasanunaka)",Toddy Diloway,"Witting, Treutel and Wyman",13.94,Drama,900855474-7,28-01-1914
135,Dope,Lanita Maudling,"Wilkinson, Weimann and Schmidt",19.58,Comedy|Drama,847465637-0,22-11-1938
136,One Shot,Kyle Rathbourne,"Rosenbaum, Zulauf and Buckridge",13.58,Documentary,140259032-6,21-01-1923
137,Leave It to Beaver,Carlyle Whistlecraft,Adams-Bogan,47.96,Comedy,817432382-1,12-06-1960
138,Days of Being Wild (A Fei jingjyuhn),Rebecka Rickwood,Mertz-Goyette,17.44,Drama|Romance,607880878-8,30-01-1922
139,Brushfires,Normy Burley,Walter-Kohler,12.41,Drama,142524907-8,03-02-1989
140,Hadewijch,Gerardo Kummerlowe,"O'Conner, Friesen and Rosenbaum",41.7,Drama,504608608-5,22-11-1982
141,This Is 40,Laurel Banane,Tromp-Upton,15.24,Drama,807415004-6,07-06-2005
142,Piranha 3DD (a.k.a. Piranha DD),Annabella Walls,"Conroy, Cummings and Goodwin",36.73,Comedy|Horror,275443412-7,04-10-1965
143,Soloalbum,Abigail Lack,Zboncak-Luettgen,3.19,Comedy|Romance,101925065-8,16-07-2015
144,Day of the Falcon,Laurence Grinstead,Wisoky and Sons,49.97,Adventure|Drama,403607530-6,30-01-1910
145,Arlington Road,Rockey Broxup,"Ortiz, Wehner and Wilkinson",25.62,Thriller,928737903-3,30-04-2012
146,"Veteran, The",Jenny Pietruszka,Purdy-Schuppe,28.51,Action|Thriller,428043156-6,06-11-1925
147,Cluny Brown,Godfrey Napper,Mann and Sons,37.36,Comedy|Romance,669770952-9,02-01-2006
148,Little Sister,Davy Malimoe,Lehner Group,13.7,Comedy,611375995-4,02-08-1941
149,Girlhood,Morris Colby,Hermann-Goyette,47.44,Documentary,343918837-X,03-02-1904
150,Bela Kiss: Prologue,Corabel Duran,"Bartoletti, Crooks and Daniel",9.8,Horror|Mystery|Thriller,977500623-6,28-06-1935
151,Tears of Steel,Perceval Cano,Lakin and Sons,44.61,Sci-Fi,502749999-X,18-06-1996
152,Harry Potter and the Chamber of Secrets,Dorelia Vant,"Feest, Bradtke and Goldner",29.9,Adventure|Fantasy,718340411-0,11-03-1971
153,Monty Python: Almost the Truth - Lawyers Cut,Cirstoforo Braban,"Bernhard, Koch and Kemmer",4.28,Comedy|Documentary,424163851-1,17-03-1908
154,Tycoon (Oligarkh),El Verdey,Roberts-Ondricka,11.81,Crime|Drama,028181320-5,05-10-1955
155,"White Dwarf, The (Valkoinen kääpiö)",Lyndy Meiklam,Hilpert and Sons,8.46,Drama,388457331-4,05-01-1992
156,Bukowski: Born into This,Orlando Revelle,Cole Group,8.9,Documentary,434685027-8,25-08-1956
157,Women in Love,George Rickertsen,Swaniawski LLC,4.92,Drama,072526667-8,22-11-1948
158,"Last of the Mohicans, The",Humberto Toolan,Hamill Group,12.97,Adventure|Drama|War,797019993-3,21-03-1963
159,A Rumor Of War,Clarance McPharlain,"Bergnaum, O'Reilly and Corwin",48.77,(no genres listed),770990685-0,22-05-2009
160,F/X,Jorgan Ordelt,"Spinka, Langosh and Schmitt",25.49,Action|Crime|Thriller,599398117-2,01-11-1908
161,Scusa ma ti chiamo amore,Waylen Keeney,"Casper, Bradtke and Grady",46.53,Romance,253375656-3,22-06-1979
162,Don 2,Corissa Kalisz,Leannon and Sons,14.16,Action|Crime|Mystery|Romance|Thriller,862192830-2,03-10-1953
163,"Little Engine That Could, The",Duffie Kuschek,Kiehn Inc,38.8,Animation|Children,861899399-9,14-09-1968
164,Convoy,Gabey Shevell,"Stracke, Krajcik and Harvey",13.73,Action|Comedy|Drama,595038361-3,05-01-1983
165,Big Buck Bunny,Tilda Denyagin,Welch-Berge,20.67,Animation|Comedy,913912796-6,08-05-1968
166,Butterflies Are Free,Wildon Polon,"Gerhold, Dicki and Maggio",49.48,Comedy|Drama,646632898-8,03-02-1908
167,Amber Alert ,Rex Cumesky,Beer and Sons,25.18,Thriller,106690346-8,02-10-1938
168,Bang Bang,Violette MacCumiskey,"Spinka, Feil and Hessel",33.16,Comedy,806010683-X,11-08-1968
169,Not My Type,Manuel Danet,Muller and Sons,7.87,Comedy|Romance,974544463-4,27-07-1942
170,Dream Demon,Paddie Cromley,"Raynor, McKenzie and Dietrich",39.1,Horror,712810010-5,22-02-1943
171,"Private Life of Sherlock Holmes, The",Glenn Anstey,"Kshlerin, Blick and Toy",48.81,Comedy|Drama|Mystery,012357126-X,18-05-1935
172,The Fourth War,Anjela Helder,Hilpert LLC,5.94,Drama|Thriller,710816420-5,15-02-1921
173,"Crush, The (La cotta)",Giovanna Klimkov,Morar and Sons,38.58,Romance,568299160-5,28-03-1938
174,"War Wagon, The",Roobbie Devall,Funk Inc,21.61,Action|Western,470322662-6,25-08-1949
175,Looking for Hortense (Cherchez Hortense) ,Drusie Scaice,Schroeder-Quitzon,44.91,Drama,136409195-X,03-09-1963
176,Seven Years Bad Luck,Rica Sokill,"Cremin, Ruecker and Mills",24,Comedy,125838105-2,30-05-1956
177,Viva,Rafael Gherardini,Beer Inc,2.13,Comedy|Drama|Musical,008578669-1,15-09-1911
178,Take a Girl Like You,Cynde Middler,Kozey Inc,6,Comedy|Drama|Romance,148627867-1,30-06-1928
179,"Piano, The",Celina Cleyne,"Lemke, Will and Steuber",44.22,Drama|Romance,608909074-3,14-05-1976
180,"Prince and the Pauper, The",Jacob Wollard,"Moen, Howe and Murazik",9.2,Adventure|Drama,955665305-8,05-08-1916
181,London - The Modern Babylon ,Madge Shillingford,"Boehm, Murray and Lockman",10.94,Documentary,815274947-8,27-03-2009
182,"Cage aux Folles, La",Francisca Gallant,Graham-Rempel,33.22,Comedy,700295582-9,03-06-1912
183,Up,Robinet Gawen,"Hirthe, Howe and Glover",19.18,Adventure|Animation|Children|Drama,379199310-0,18-06-1939
184,"Love, etc.",Loydie Inkpen,"Predovic, Monahan and Greenholt",49.97,Drama,343433883-7,09-04-1947
185,Amistad,Nanice Redmain,Harber-Rodriguez,3.05,Drama|Mystery,450383342-1,17-07-1966
186,My Best Friend (Mon meilleur ami),Tallou Fumagalli,Jerde Group,36.91,Comedy,879802310-1,25-11-2007
187,"Season for Miracles, A",Grenville Growy,White-Rau,23.97,Children|Romance,049938599-3,06-12-2002
188,Killjoy 2: Deliverance from Evil,Elberta Gurdon,Kertzmann LLC,8.39,Horror,310756416-8,16-12-2000
189,Starflight: The Plane That Couldn't Land,Clay Leall,Tremblay-Haag,13.11,Drama|Sci-Fi,610030249-7,05-05-1916
190,"U.S. vs. John Lennon, The",Nollie Gatman,Kautzer LLC,13.65,Documentary,367472751-X,23-11-1986
191,Bunraku,Morena Ravenshaw,"Becker, Borer and Green",34.88,Action|Drama|Fantasy,152088232-7,17-09-1986
192,Stonewall,Ophelie Swatten,Cronin Group,30.25,Drama,676105227-0,27-08-1945
193,Insidious: Chapter 2,Byrom Balcock,"Hermann, Monahan and Yundt",44.8,Horror|Thriller,656596927-2,02-12-1922
194,Still Walking (Aruitemo aruitemo),Yevette Redsull,"Nader, Murazik and Moen",6.47,Drama,482743023-3,23-05-1986
195,Night Patrol,Nana Hick,Deckow-O'Kon,8.78,Comedy,462666370-2,15-09-1969
196,Pokémon 3: The Movie,Timofei Gilluley,Crona-Pacocha,44.03,Animation|Children,317388267-9,26-09-1995
197,Foolproof,Belinda Fearns,Towne-Denesik,41.21,Action|Comedy|Crime|Thriller,948146801-1,18-09-1967
198,Bull Durham,Temple Canete,Simonis-Schmeler,37.18,Comedy|Drama|Romance,805709618-7,25-01-1994
199,American Yakuza,Ariadne Simmen,Parisian and Sons,30.35,Action|Drama|Thriller,855927506-1,12-04-1982
200,Momo,Dulci Glandon,"McClure, McClure and Bednar",11.63,Animation|Children|Fantasy,363274557-9,02-03-2016
201,"11th Hour, The",Fee Hasluck,"Pouros, Goldner and Bauch",17.59,Documentary,103426184-3,31-08-1983
202,Thale,Klara Glascott,"Hauck, Bernier and Lubowitz",49.74,Action|Drama|Horror|Mystery,917640228-2,16-05-1966
203,Wrestling for Jesus: The Tale of T-Money,Mateo Burhill,Rippin and Sons,47.39,Documentary,731457347-6,13-05-1926
204,Lord Jim,Demetria Showte,"Nader, Morar and Kling",34.42,Adventure|Drama,000819207-3,18-06-1903
205,Two Friends,Shellie Campione,Beatty-Terry,15.21,Drama,720203135-3,18-05-1947
206,Georgia,Heinrick Lanney,Beatty and Sons,2.73,Drama,696385240-5,15-07-1920
207,Glowing Stars,Barbabas Eddisforth,"Kunze, Abernathy and Corwin",31,Drama,181444718-0,24-12-1983
208,Three Colors: Blue (Trois couleurs: Bleu),Jobie Jent,"Conroy, Mosciski and Cassin",11.64,Drama,730297311-3,20-03-1922
209,Patriotism (Yûkoku),Alethea Shutler,Corkery LLC,33.63,Drama,335094562-7,31-01-1961
210,"Rumor of Angels, A",Jelene Pleasaunce,Quitzon LLC,29.62,Drama,025501356-6,30-11-1982
211,Hero Wanted,Jammie Yerlett,Kuhn-Yundt,31.29,Action|Crime|Drama|Thriller,472550895-0,02-09-1906
212,The Adventures of André and Wally B.,Jaclyn Rontsch,Dicki-Rodriguez,38.44,Animation,054650561-9,02-03-1955
213,Splinter,Ferne Offiler,Herzog-Witting,19.76,Action|Horror|Thriller,325246492-6,06-08-1909
214,"Island, The (a.k.a. Naked Island) (Hadaka no shima)",Mathilde Mepsted,Marvin-Conroy,23.02,Drama,618776679-2,13-10-1932
215,Falling (a.k.a. Fallen),Berrie Fishbourne,Hodkiewicz-Gutmann,6.25,Drama,059187496-2,06-08-1960
216,Korso,Peggie Rodder,Cronin-Dickens,17.35,Drama,206483931-3,12-11-1968
217,"Count Yorga, Vampire",Julian Couronne,Kerluke Group,30.92,Drama|Horror|Romance,049582198-5,23-12-1958
218,Bone,Amaleta Gomez,Smith-Ondricka,22.51,Comedy,997723173-7,02-05-2007
219,Good Neighbor Sam,Adolphus Bengough,Schamberger Inc,13.69,Comedy,221214162-9,10-04-1931
220,Aces 'N' Eights,Gun Niemiec,Frami-Romaguera,20.4,Action|Adventure|Drama|Romance|Western,163521674-5,07-10-1987
221,"White Rose, The (Weiße Rose, Die)",Alanah Laneham,"Ullrich, Ferry and Wolff",26.39,Drama|Film-Noir,995455922-1,05-06-1974
222,xXx,Ty Terbruggen,Ziemann-Greenfelder,13.11,Action|Crime|Thriller,474378831-5,06-02-1941
223,"Church, The (Chiesa, La)",Randolph Rushbury,Gaylord-Schowalter,26.38,Drama|Fantasy|Horror,978538215-X,09-06-1985
224,Revenge of the Green Dragons,Adriana Powelee,"Russel, Douglas and Boyer",15.26,Action|Crime|Drama,033764271-0,20-07-1930
225,When You're Strange,Farley Fowles,"Cronin, Kutch and Schiller",18.99,Documentary,541078019-1,03-12-2005
226,Sword of the Valiant,Viki Patriche,"Bosco, Stamm and Smitham",14.69,Action|Adventure|Fantasy|Romance,448916661-3,09-12-1995
227,Cause for Alarm!,Ludovika Fantone,"Cassin, Leffler and Kub",27.01,Crime|Drama|Film-Noir|Thriller,475167076-X,23-07-1994
228,Get Him to the Greek,Culver Snead,"Wehner, Shanahan and Bruen",36.53,Comedy,133084390-8,28-03-1967
229,I Am Dina,Wilt Twentyman,Zboncak Group,13.35,Crime|Drama|Mystery|Romance,808477125-6,22-12-1900
230,Mille bolle blu,Yorgos Pettitt,Howe-Gerhold,31.38,Comedy,304907182-6,20-03-1960
231,Sunset Strip,Elvyn Bousfield,Osinski-Okuneva,15.64,Comedy,765028868-4,20-04-1993
